language,global_mmlu,hellaswag_multilingual,truthfulqa_multilingual,cultural_bench_CulturalBench-Hard,cultural_bench_CulturalBench-Easy,blend,polyglotoxicityprompts_full_full,polyglotoxicityprompts_full_small,polyglotoxicityprompts_full_wildchat,aya_redteaming,multijail
category,regional_knowledge,reasoning,reasoning,regional_knowledge,regional_knowledge,regional_knowledge,safety,safety,safety,safety,safety
hf_dataset,CohereLabs/Global-MMLU,alexandrainst/m_hellaswag,alexandrainst/m_truthfulqa,kellycyy/CulturalBench,kellycyy/CulturalBench,nayeon212/BLEnD,ToxicityPrompts/PolygloToxicityPrompts,ToxicityPrompts/PolygloToxicityPrompts,ToxicityPrompts/PolygloToxicityPrompts,CohereLabs/aya_redteaming,DAMO-NLP-SG/MultiJail
am,14042,,,,,,,,,,
ar,14042,9176,773,,,,25000,5000,1000,,315
arabic,,,,,,,,,,900,
bn,14042,9242,781,,,,,,,,315
ca,,9211,777,,,,,,,,
cs,14042,,,,,,25000,5000,1000,,
da,,9305,781,,,,,,,,
de,14042,9368,788,,,,25000,5000,1000,,
el,14042,,,,,,,,,,
en,14042,9368,,,,,25000,5000,1000,,315
english,,,,,,,,,,987,
es,14042,9374,789,,,,25000,5000,1000,,
eu,,9255,774,,,,,,,,
fa,14042,,,,,,,,,,
fil,14042,,,,,,,,,,
filipino,,,,,,,,,,1009,
fr,14042,9338,787,,,,25000,5000,1000,,
french,,,,,,,,,,813,
gu,,8803,731,,,,,,,,
ha,14042,,,,,,,,,,
he,14042,,,,,,,,,,
hi,14042,9416,773,,,,25000,5000,1000,,
hindi,,,,,,,,,,915,
hr,,9471,769,,,,,,,,
hu,,9119,771,,,,,,,,
hy,,8632,553,,,,,,,,
id,14042,9314,778,,,,25000,5000,1000,,
ig,14042,,,,,,,,,,
is,,9368,,,,,,,,,
it,14042,9193,783,,,,25000,5000,1000,,315
ja,14042,,,,,,25000,5000,1000,,
jv,,,,,,,,,,,315
kn,,8862,678,,,,,,,,
ko,14042,,,,,,25000,5000,1000,,315
ky,14042,,,,,,,,,,
lt,14042,,,,,,,,,,
mg,14042,,,,,,,,,,
ml,,8933,694,,,,,,,,
mr,,9279,764,,,,,,,,
ms,14042,,,,,,,,,,
nb,,9368,,,,,,,,,
ne,14042,9318,774,,,,,,,,
nl,14042,9265,785,,,,25000,5000,1000,,
ny,14042,,,,,,,,,,
pl,14042,,,,,,25000,5000,1000,,
pt,14042,9229,788,,,,25000,5000,1000,,
ro,14042,9245,779,,,,,,,,
ru,14042,9272,788,,,,25000,5000,1000,,
russian,,,,,,,,,,1007,
serbian,,,,,,,,,,1006,
si,14042,,,,,,,,,,
sk,,9485,778,,,,,,,,
sn,14042,,,,,,,,,,
so,14042,,,,,,,,,,
spanish,,,,,,,,,,782,
sr,14042,9449,785,,,,,,,,
sv,14042,9122,774,,,,25000,5000,1000,,
sw,14042,,,,,,,,,,315
ta,,8413,743,,,,,,,,
te,14042,8724,705,,,,,,,,
th,,,,,,,,,,,315
tr,14042,,,,,,,,,,
uk,14042,9409,770,,,,,,,,
vi,14042,9162,785,,,,,,,,315
yo,14042,,,,,,,,,,
zh,14042,,788,,,,25000,5000,1000,,315
Algeria,,,,,,20364,,,,,
Argentina,,,,140,35,,,,,,
Assam,,,,,,21293,,,,,
Australia,,,,60,15,,,,,,
Azerbaijan,,,,,,19932,,,,,
Bangladesh,,,,100,25,,,,,,
Brazil,,,,100,25,,,,,,
Canada,,,,28,7,,,,,,
Chile,,,,88,22,,,,,,
China,,,,236,59,20410,,,,,
Czech Republic,,,,100,25,,,,,,
Egypt,,,,80,20,,,,,,
Ethiopia,,,,,,22712,,,,,
France,,,,56,14,,,,,,
Germany,,,,128,32,,,,,,
Greece,,,,,,20383,,,,,
Hong Kong,,,,144,36,,,,,,
India,,,,184,46,,,,,,
Indonesia,,,,104,26,18417,,,,,
Iran,,,,148,37,19371,,,,,
Israel,,,,52,13,,,,,,
Italy,,,,144,36,,,,,,
Japan,,,,212,53,,,,,,
Lebanon,,,,88,22,,,,,,
Malaysia,,,,44,11,,,,,,
Mexico,,,,196,49,20513,,,,,
Morocco,,,,68,17,,,,,,
Nepal,,,,84,21,,,,,,
Netherlands,,,,100,25,,,,,,
New Zealand,,,,44,11,,,,,,
Nigeria,,,,88,22,,,,,,
North_Korea,,,,,,17005,,,,,
Northern_Nigeria,,,,,,16317,,,,,
Pakistan,,,,56,14,,,,,,
Peru,,,,76,19,,,,,,
Philippines,,,,180,45,,,,,,
Poland,,,,96,24,,,,,,
Romania,,,,60,15,,,,,,
Russia,,,,120,30,,,,,,
Saudi Arabia,,,,68,17,,,,,,
Singapore,,,,92,23,,,,,,
South Africa,,,,232,58,,,,,,
South Korea,,,,164,41,,,,,,
South_Korea,,,,,,21439,,,,,
Spain,,,,160,40,19280,,,,,
Taiwan,,,,88,22,,,,,,
Thailand,,,,108,27,,,,,,
Turkey,,,,152,38,,,,,,
UK,,,,,,16723,,,,,
US,,,,,,16491,,,,,
Ukraine,,,,84,21,,,,,,
United Kingdom,,,,100,25,,,,,,
United States,,,,80,20,,,,,,
Vietnam,,,,108,27,,,,,,
West_Java,,,,,,15289,,,,,
Zimbabwe,,,,68,17,,,,,,
